"","bibtype","author","title","journal","year","volume","number","pages","month","abstract","doi","issn","eissn","unique-id"
"ISI:000369585700001","Article","Sarah Blodgett Bermeo","{Aid Is Not Oil: Donor Utility, Heterogeneous Aid, and the
   Aid-Democratization Relationship}","{INTERNATIONAL ORGANIZATION}","{2016}","{70}","{1}","{1-32}","{WIN}","{Recent articles conclude that foreign aid, like other nontax resources,
   inhibits political change in authoritarian regimes. This article
   challenges both the negative political effects of aid and the similarity
   of aid to other resources. It develops a model incorporating changing
   donor preferences and the heterogeneity of foreign aid. Consistent with
   the model's predictions, an empirical test for the period 1973-2010
   shows that, on average, the negative relationship between aid and the
   likelihood of democratic change is confined to the ColdWar period.
   However, in the post-Cold War period, nondemocratic recipients of
   particular strategic importance can still use aid to thwart change. The
   relationship between oil revenue and democratic change does not follow
   the same pattern over time or across recipients. This supports the
   conclusion that aid has different properties than other, fungible,
   resources.}","{10.1017/S0020818315000296}","{0020-8183}","{1531-5088}","{ISI:000369585700001}"
"ISI:000369585700002","Article","Nadav G. Shelef","{Unequal Ground: Homelands and Conflict}","{INTERNATIONAL ORGANIZATION}","{2016}","{70}","{1}","{33-63}","{WIN}","{Although there is a deep and wide consensus that international conflict
   over territory is especially common and destructive, there is less
   agreement over what it is about territory that leads to these outcomes.
   Understanding the role of territory in international conflict requires
   complementing realist and materialist understandings of the value of
   territory with one grounded in the constructivist theories that dominate
   studies of nationalism and geography. Doing so recognizes that homeland
   territoriality, because it raises the value of a specific territory and
   provides an imperative to establish sovereignty over it, plays a
   distinctive role in driving international conflict. This article
   presents a systematic, replicable operationalization of the homeland
   status of territory that, because it is consistent with constructivist
   theories of nationalism, can be used to integrate constructivist
   understandings of the role of territory into quantitative studies of
   territorial conflict. This measure is then used to test the implication
   that the loss of subjectively defined homeland territory increases the
   likelihood of international conflict relative to the loss of nonhomeland
   territory. The findings that dividing homelands is especially likely to
   lead to conflict are corroborated by a second novel measure of the
   homeland status of territory that is based on the identification of
   co-ethnics in a territory before the border was drawn.}","{10.1017/S0020818315000193}","{0020-8183}","{1531-5088}","{ISI:000369585700002}"
"ISI:000369585700003","Article","Simone Dietrich","{Donor Political Economies and the Pursuit of Aid Effectiveness}","{INTERNATIONAL ORGANIZATION}","{2016}","{70}","{1}","{65-102}","{WIN}","{In response to corruption and inefficient state institutions in
   recipient countries, some foreign aid donors outsource the delivery of
   aid to nonstate development actors. Other donor governments continue to
   support state management of aid, seeking to strengthen recipient states.
   These cross-donor differences can be attributed in large measure to
   different national orientations about the appropriate role of the state
   in public service delivery. Countries that place a high premium on
   market efficiency (for example, the United States, United Kingdom,
   Sweden) will outsource aid delivery in poorly governed recipient
   countries to improve the likelihood that aid reaches the intended
   beneficiaries of services. In contrast, states whose political economies
   emphasize a strong state in service provision (for example, France,
   Germany, Japan) continue to support state provision. This argument is
   borne out by a variety of tests, including statistical analysis of
   dyadic time-series cross-section aid allocation data and
   individual-level survey data on a cross-national sample of senior
   foreign aid officials. To understand different aid policies, one needs
   to understand the political economies of donors.}","{10.1017/S0020818315000302}","{0020-8183}","{1531-5088}","{ISI:000369585700003}"
"ISI:000369585700004","Article","Austin Carson","{Facing Off and Saving Face: Covert Intervention and Escalation
   Management in the Korean War}","{INTERNATIONAL ORGANIZATION}","{2016}","{70}","{1}","{103-131}","{WIN}","{States pursue their cooperative and competitive goals using both public
   and private policy tools. Yet there is a profound mismatch between the
   depth, variety, and importance of covert activity and what scholars of
   International Relations (IR) know about it. This article addresses this
   gap by analyzing how adversaries struggle for influence within the
   covert sphere, why they often retreat to it, and when they abandon it.
   It focuses on secrecy among adversaries intervening in local conflicts
   and develops a theory about secrecy's utility as a device for creating
   sustainable limits in war. Drawing on insights about secrecy and
   face-work from the sociologist Erving Goffman, I show that major powers
   individually and collectively conceal evidence of foreign involvement
   when the danger of unintended conflict escalation is acute. Doing so
   creates a kind of ``backstage{''} in which adversaries can exceed limits
   on war without stimulating hard-to-resist pressure to escalate further.
   An important payoff of the theory is making sense of puzzling cases of
   forbearance: even though adversaries often know about their opponent's
   covert activity, they often abstain from publicizing it. Such ``tacit
   collusion{''} arises when both sides seek to manage escalation risks
   even as they compete for power and refuse to capitulate. The article
   evaluates the theory via several nested cases of external intervention
   in the Korean War. Drawing on newly available materials documenting the
   covert air war between secretly deployed Soviet pilots and Western
   forces, the cases show how adversaries can successfully limit war by
   concealing activity from outside audiences. Beyond highlighting the
   promise in studying the covert realm in world politics, the article has
   important implications for scholarship on coercive bargaining,
   reputation, state uses of secrecy, and how regime type influences
   conflict behavior.}","{10.1017/S0020818315000284}","{0020-8183}","{1531-5088}","{ISI:000369585700004}"
"ISI:000369585700005","Article","David B. Carter","{Provocation and the Strategy of Terrorist and Guerrilla Attacks}","{INTERNATIONAL ORGANIZATION}","{2016}","{70}","{1}","{133-173}","{WIN}","{Violent nonstate groups are usually weaker than the states they target.
   Theory suggests that groups carefully condition their choice of tactics
   on anticipated state response. Yet scholars know very little about
   whether and how groups strategically plan attacks in anticipation of
   state response. Scholars do not know if and under what conditions groups
   employ violent tactics to provoke or avoid a forceful state response,
   although extant theory is consistent with both possibilities. Relatedly,
   there is little systematic evidence about why groups choose terrorist or
   guerrilla tactics and how this choice relates to anticipated state
   response. I develop a theoretical and empirical model of the interaction
   between groups and states that generates unique evidence on all three
   fronts. Using data on attacks in Western Europe from 1950 to 2004, I
   show that guerrilla attacks are sometimes associated with provoking
   forceful state response, whereas terrorist attacks are generally
   associated with avoiding forceful response. Groups effectively choose
   their tactics to avoid forceful state responses that are too damaging
   for themselves but provoke forceful responses that disproportionately
   harm civilians. These findings survive several robustness and model
   specification tests.}","{10.1017/S0020818315000351}","{0020-8183}","{1531-5088}","{ISI:000369585700005}"
"ISI:000369585700006","Article","James Ashley Morrison","{Shocking Intellectual Austerity: The Role of Ideas in the Demise of the
   Gold Standard in Britain}","{INTERNATIONAL ORGANIZATION}","{2016}","{70}","{1}","{175-207}","{WIN}","{Britain's 1931 suspension of the gold standard remains one of the most
   shocking policy shifts of the past century. Conventional explanations
   focus on changing international conditions alongside the rise of social
   democracy: when Britons refused to shoulder the increasing costs of
   defending the exchange rate, the Bank of England was ``forced{''} to
   abandon the gold standard. This article refocuses attention on
   policy-makers' causal ideas at critical moments. Drawing on numerous
   primary sources held in several archives, it reveals a cleavage within
   the Bank over the appropriate response to the flight from sterling.
   Following the nervous collapse of the Bank's governor, the deputy
   governor shifted the Bank's strategy from making defensive rate hikes to
   pursuing fiscal austerity. He then ``temporarily{''} suspended gold
   convertibility in a gambit to forestall the election he (incorrectly)
   assumed would unseat the gold standard's supporters in Parliament. When
   the unintended experiment with a managed float proved successful, Keynes
   was able to persuade policy-makers to embrace the new exchange rate
   regime.}","{10.1017/S0020818315000314}","{0020-8183}","{1531-5088}","{ISI:000369585700006}"
"ISI:000369585700007","Article","Desha M. Girod and Jennifer L. Tobin","{Take the Money and Run: The Determinants of Compliance with Aid
   Agreements}","{INTERNATIONAL ORGANIZATION}","{2016}","{70}","{1}","{209-239}","{WIN}","{Conditions on aid agreements aim to increase aid effectiveness, and are,
   therefore, an important component of aid agreements. Yet little is known
   about why aid-recipient governments comply with these conditions. Some
   scholars have suggested a strategic-importance hypothesis: recipients
   comply when donors enforce conditions and donors enforce conditions when
   recipients are not strategically important. However, there are many
   cases where strategically important countries comply with conditions and
   strategically unimportant countries fail to do so. We argue that to
   explain compliance, we must also understand how the desire to maximize
   revenue from major income sources, such as FDI and natural resource
   rents, changes the recipient's incentive to comply. Using data on World
   Bank records of compliance from 1964 to 2010, we find strong support for
   our hypotheses even after accounting for different model specifications
   and potential endogeneity. Paradoxically, donors can secure compliance
   from recipients for reasons unrelated to the promise of additional aid.}","{10.1017/S0020818315000326}","{0020-8183}","{1531-5088}","{ISI:000369585700007}"
"ISI:000367842600004","Article","Kevin Arceneaux and Martin Johnson and Rene Lindstaedt and Ryan J. Vander Wielen","{The Influence of News Media on Political Elites: Investigating Strategic
   Responsiveness in Congress}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{5-29}","{JAN}","{News media play a central role in democratic politics, yet we know
   little about how media affect the behavior of policy makers. To
   understand the conditions under which news media influence political
   elites, we advance a theory of strategic responsiveness, which contends
   that elected representatives are more likely to heed their constituents'
   preferences when voters are attentive. Accordingly, news media's
   influence on legislative behavior should be most apparent near elections
   and dependent on the partisan composition of the constituency. We
   capitalize on the incremental rollout of the conservative Fox News
   Channel in the late 1990s to evaluate our theoretical predictions. Fox
   News caused both Republicans and Democrats in Congress to increase
   support for the Republican Party position on divisive votes, but only in
   the waning months of the election cycle and among those members who
   represent districts with a sizable portion of Republican voters.}","{10.1111/ajps.12171}","{0092-5853}","{1540-5907}","{ISI:000367842600004}"
"ISI:000367842600005","Article","Ryan C. Black and Ryan J. Owens","{Courting the President: How Circuit Court Judges Alter Their Behavior
   for Promotion to the Supreme Court}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{30-43}","{JAN}","{We examine whether circuit court judges sacrifice policy purity for
   career goals. We compare the behavior of contender judges-those most
   likely to be elevated to the Supreme Court-during vacancy periods with
   their behavior outside vacancy periods. We also examine the behavior of
   noncontender judges during those same times. The data show that during
   vacancy periods, contender judges are more likely to vote consistently
   with the president's preferences, to rule in favor of the United States,
   and to write dissenting opinions. Noncontender judges fail to evidence
   such behavior. These findings provide empirical support for the argument
   that federal judges adapt their behavior to specific audiences, and
   provide new avenues for research into judges' goals and the role of
   audiences in judicial decision making.}","{10.1111/ajps.12132}","{0092-5853}","{1540-5907}","{ISI:000367842600005}"
"ISI:000367842600006","Article","Guy Grossman and Oren Gazal-Ayal and Samuel D. Pimentel and Jeremy M. Weinstein","{Descriptive Representation and Judicial Outcomes in Multiethnic
   Societies}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{44-69}","{JAN}","{The extent to which judicial outcomes depend on judges' identities is a
   central question in multiethnic societies. Past work on the impact of
   the racial composition of appellate courts has narrowly focused on civil
   rights cases in the United States. We expand this literature by testing
   for ethnicity-based panel effects in criminal appeals in Israel. Using
   randomness in the assignment of cases to panels, we find that appeal
   outcomes for Jewish defendants are independent of panels' ethnic
   composition. By contrast, panel composition is highly consequential for
   Arab defendants, who receive more lenient punishments when their case is
   heard by a panel that includes at least one Arab judge, compared to
   all-Jewish panels. The magnitude of these effects is sizable: a 14-20\%
   reduction in incarceration and a 15-26\% reduction in prison sentencing.
   These findings contribute to recent debates on the relationship between
   descriptive representation and substantive outcomes in judicial bodies.}","{10.1111/ajps.12187}","{0092-5853}","{1540-5907}","{ISI:000367842600006}"
